Field name,Reservoir unit,Country,Region,Tectonic regime,Hydrocarbon type,Period,Depositional system,Lithology,Trapping mechanism,Structural setting,Gross,Netpay,Porosity,Permeability,Depth
BAIKOUQUAN,BAIKOUQUAN,CHINA,FAR EAST,COMPRESSION,OIL,TRIASSIC,FLUVIAL,CONGLOMERATE,FAULT,SUB-THRUST,160.1,30.5,12.2,71.2,2125.0
BAIRAM-ALI,SHATLYK,TURKMENISTAN,FORMER SOVIET UNION,COMPRESSION,GAS,CRETACEOUS,COASTAL,SANDSTONE,FOLD,FORELAND,70.1,60.1,20.0,123.0,2771.3
BALAM SOUTH,TELISA 600,INDONESIA,FAR EAST,INVERSION,OIL,NEOGENE,COASTAL,LOW-RESISTIVITY SANDSTONE,FOLD,INVERSION,36.6,21.3,32.0,68.0,323.2
BALDPATE,BIG SAND,USA,NORTH AMERICA,GRAVITY,GAS,NEOGENE,DEEP MARINE,SANDSTONE,FOLD,SALT,36.0,30.5,27.0,836.0,4222.6
BALOL,KALOL,INDIA,FAR EAST,INVERSION,OIL,PALEOGENE,FLUVIAL,SANDSTONE,DEPOSITIONAL,RIFT,45.1,4.0,28.0,5000.0,956.1
BARONIA,RR2/RS2,MALAYSIA,FAR EAST,GRAVITY,OIL,NEOGENE,COASTAL,SANDSTONE,FOLD,DELTA,114.3,53.4,20.0,185.0,2016.8
BARQUE,LEMAN SANDSTONE,UK,EUROPE,INVERSION,GAS,PERMIAN,DESERT,SANDSTONE,FAULT,SUB-SALT,228.7,173.8,11.0,0.5,2103.7
BARRACOUTA,LATROBE (M1 UNIT),AUSTRALIA,FAR EAST,INVERSION,OIL,PALEOGENE,FLUVIAL,SANDSTONE,FOLD,INVERSION,29.9,14.9,27.0,5000.0,1329.3
BARRACOUTA,LATROBE (N1 UNIT),AUSTRALIA,FAR EAST,INVERSION,GAS,PALEOGENE,FLUVIAL,SANDSTONE,FOLD,INVERSION,114.9,89.9,25.0,1000.0,970.7
BEAVER LODGE,MISSION CANYON (MADISON),USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,LOW-ENERGY CARBONATE MUD,LIMESTONE,FOLD,INTRACRATONIC,36.6,6.1,6.0,1.0,2545.7
BELAYIM MARINE,RUDEIS-KAREEM,EGYPT,AFRICA,EXTENSION,OIL,NEOGENE,DEEP MARINE,SANDSTONE,FAULT,SUB-SALT,396.3,152.4,18.0,400.0,2161.6
BELL CREEK,MUDDY,USA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,DEPOSITIONAL,FORELAND,13.7,7.0,28.5,2250.0,1311.0
BEMOLANGA,ISALO,MADAGASCAR,AFRICA,EXTENSION,OIL,TRIASSIC,FLUVIAL,SANDSTONE,FOLD,PASSIVE MARGIN,274.4,30.5,19.5,446.0,0.0
BERRI,HANIFA,SAUDI ARABIA,MIDDLE EAST,COMPRESSION,OIL,JURASSIC,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,FORELAND,82.3,57.9,17.0,50.0,2286.6
BERYL,BERYL,UK,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,EROSIONAL,RIFT,152.4,129.6,17.0,350.0,2804.9
BERYL,LINNHE,UK,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,FAULT,RIFT,91.5,36.6,14.0,100.0,2926.8
BERYL,NANSEN,UK,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,FAULT,RIFT,54.9,43.9,18.0,200.0,3036.3
BIBI HAKIMEH,ASMARI,IRAN,MIDDLE EAST,COMPRESSION,OIL,PALEOGENE-NEOGENE,LOW-ENERGY CARBONATE MUD,DOLOMITIC LIMESTONE,FOLD,FORELAND,487.8,204.9,9.0,1.0,960.4
BIG SANDY,OHIO SHALE,USA,NORTH AMERICA,COMPRESSION,GAS,DEVONIAN,DEEP MARINE,SHALE,DIAGENETIC,FORELAND,182.9,30.5,4.7,0.0,670.7
BILLINGS NOSE,MISSION CANYON (BIG STICK FIELD),USA,NORTH AMERICA,EXTENSION,OIL,CARBONIFEROUS,LOW-ENERGY CARBONATE MUD,DOLOMITE,FLUIDIC,INTRACRATONIC,30.5,5.5,17.0,20.0,2881.1
BINDLEY,WARSAW,USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,ORGANIC BUILDUP,DOLOMITE,EROSIONAL,FORELAND,15.2,3.7,15.0,35.0,1396.3
BLACK LAKE,SLIGO (PETTET),USA,NORTH AMERICA,GRAVITY,GAS-CONDENSATE,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,DEPOSITIONAL,PASSIVE MARGIN,45.7,22.1,15.0,133.0,2375.0
BOB WEST,WILCOX (LOPENO SANDS),USA,NORTH AMERICA,GRAVITY,GAS,PALEOGENE,COASTAL,SANDSTONE,FOLD,DELTA,914.6,198.2,16.0,0.6,3010.7
BONGKOT,MALAY II,THAILAND,FAR EAST,STRIKE-SLIP,GAS-CONDENSATE,NEOGENE,FLUVIAL,SANDSTONE,FAULT,WRENCH,1036.6,36.6,22.0,160.0,920.7
BOONSVILLE,BEND CONGLOMERATE,USA,NORTH AMERICA,INVERSION,GAS,CARBONIFEROUS,COASTAL,CONGLOMERATE,EROSIONAL,FORELAND,335.4,22.3,10.0,3.0,1372.0
BRADFORD,CLEVELAND,USA,NORTH AMERICA,COMPRESSION,GAS,CARBONIFEROUS,COASTAL,SHALY SANDSTONE,DEPOSITIONAL,FORELAND,106.7,10.4,12.0,0.1,2233.2
BRAGE,FENSFJORD,NORWAY,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,FAULT,RIFT,37.5,25.0,27.0,80.0,1935.4
BRAGE,STATFJORD,NORWAY,EUROPE,EXTENSION,OIL,TRIASSIC-JURASSIC,FLUVIAL,SANDSTONE,FAULT,RIFT,95.1,25.0,24.0,1500.0,2163.4
BRANTON,COTTON VALLEY LIME,USA,NORTH AMERICA,GRAVITY,GAS,JURASSIC,ORGANIC BUILDUP,CHALKY LIMESTONE,DEPOSITIONAL,SALT,114.3,61.0,25.0,5.0,4515.2
BRAVO DOME,TUBB,USA,NORTH AMERICA,COMPRESSION,CARBON DIOXIDE,PERMIAN,DESERT,SANDSTONE,FOLD,FORELAND,76.2,36.6,20.0,42.0,597.6
BREAM,LATROBE (N1 UNIT),AUSTRALIA,FAR EAST,INVERSION,OIL,PALEOGENE,COASTAL,SANDSTONE,FOLD,INVERSION,29.9,15.9,21.0,2900.0,1756.1
BRIDGER LAKE,DAKOTA SANDSTONE (LOWER MEMBER),USA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,FLUVIAL,SANDSTONE,DIAGENETIC,FORELAND,82.3,10.7,12.8,79.0,4713.4
BRITANNIA,BRITANNIA SANDSTONE,UK,EUROPE,EXTENSION,GAS-CONDENSATE,CRETACEOUS,DEEP MARINE,SANDSTONE,DEPOSITIONAL,RIFT,83.8,36.6,15.0,40.0,3460.4
BU ATTIFEL,SARIR,LIBYA,AFRICA,EXTENSION,OIL,CRETACEOUS,FLUVIAL,SANDSTONE,FAULT,RIFT,243.9,149.4,12.5,90.0,4039.6
BU HASA,SHUAIBA,UAE,MIDDLE EAST,COMPRESSION,OIL,CRETACEOUS,ORGANIC BUILDUP,LIMESTONE,FOLD,SALT,128.0,88.4,23.0,20.0,2332.3
BUL HANINE,ARAB D,QATAR,MIDDLE EAST,GRAVITY,OIL,JURASSIC,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SALT,73.2,42.7,23.0,200.0,2216.5
BUL HANINE,UWAINAT,QATAR,MIDDLE EAST,GRAVITY,OIL,JURASSIC,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SALT,54.9,42.7,14.0,25.0,2571.6
BUNYU,TARAKAN-SANTUL-TABUL-BUNYU,INDONESIA,FAR EAST,INVERSION,GAS,NEOGENE,COASTAL,THINLY-BEDDED SANDSTONE,FOLD,INVERSION,2500.0,118.9,25.0,1000.0,339.9
CABIN CREEK,INTERLAKE,USA,NORTH AMERICA,COMPRESSION,OIL,SILURIAN,LOW-ENERGY CARBONATE MUD,DOLOMITE,EROSIONAL,INTRACRATONIC,122.0,21.3,15.0,5.0,2561.0
